Device_ID,Subscriber_ID,Device_Type,Device_Brand_Name,IMEI,Manufacturer,Model,App_ID
a516e893-0e52-4d4d-ae61-33b5410f4ac6,a024b1d9-656a-47ea-a404-f4dea083f40b,Smartphone,iPhone12,403111189378795,Huawei,Model-62Bt,6444abf4-e859-4f61-bd59-eae523a8b965
cf70f17f-4583-40e2-a0c6-1bac566fdbd0,4a5a3cc8-49e5-4b7e-913b-70fd8a7e6300,Laptop,iPhone11 ProMax,644602989797258,Dell,Model-94ly,4d643cdd-4a59-45ac-baa7-7bed258c74da
8e053fbe-626b-4912-9462-3f34a29dc034,43143476-cb1a-4025-8035-9e405dcf5b96,Tablet,iPhone11 ProMax,103537310960387,Apple,Model-52nI,031c13be-c684-47b6-b896-61f35da5fddb
635be3ed-afdd-4f4a-ad47-78727244f767,33424da2-1afd-40e8-b554-53f5347dc56b,Tablet,iPhone12 ProMax,321391692004463,Samsung,Model-20xH,8d4e5d37-0d6d-44a2-9cdd-40ece5059511
8aaacacb-566f-4d85-836a-a74fc990220c,1a0bd4a2-7387-4a22-8e65-a6752141ad8c,Laptop,iPhone16 ProMax,810176747164703,Huawei,Model-42hJ,e593a20a-4397-4c9e-960a-cc07ba2a559a
2c9a7673-f33c-4284-af1b-046cf4eb4b0b,044b5d1e-4f37-458d-a312-a36edcd5975f,Smartphone,Samsung Galaxy Pro,405262957163840,Dell,Model-80tv,464ad118-af23-421c-8d3a-4efd00ca13e1
25bc63ce-d871-4950-8140-f05216395a80,7d5b46eb-ab58-4e80-b41e-9fac02852c6d,Smartphone,iPhone11,420189313235189,Huawei,Model-61Pv,b5a92e15-6fd6-4264-8ea5-bbe299c9cf8a
940152d4-8a5d-447b-99b8-f20cbf5db519,63390c07-2734-4037-b13c-fb4181a07e39,Laptop,iPhone11 ProMax,410393021903318,Samsung,Model-70JP,2a0a833a-d6dc-433f-98e8-992f8a7f899e
a4af4795-d6a0-4dfc-97a2-7b648f496261,80999632-7987-4904-b92b-13d2f0bae829,Smartphone,iPhone16 ProMax,453094270197572,Dell,Model-02tP,7dc7d861-09e9-435c-b38c-e268fa1c66b5
844e4618-a164-4e06-be0c-05a9e324a989,91d1c142-40a7-4b0b-93e6-f328c857d931,Laptop,iPhone14,607336873330513,HP,Model-28Zf,115ddc97-4901-46e5-afce-8bfaa3524856
664777c0-a3aa-4d6f-957b-048d14150833,583640d2-ee74-4d31-a684-4a63d53cf209,Tablet,iPhone16 ProMax,259594232970624,Huawei,Model-77tN,163e3abc-f1e8-4843-8a9a-2108c193bb33
52f7b278-b3c6-4da1-a880-fe4f0530d6c1,381a27b6-0e11-4196-a487-3c95435d0188,Laptop,iPhone15,550244447994029,Apple,Model-74Ux,b46e54dd-bc10-4eea-8368-441d56a38051
1aac455b-c39b-48cc-a334-361d8148d5bc,6c0537c7-d159-4da1-bbc7-d91632ebb3c0,Tablet,iPhone14,359072844372728,Huawei,Model-00pD,2b59bd98-bac3-4770-9299-62b9efe6b381
fdaaa6e1-56f0-4526-acd9-820706cc66e1,2db00266-9a3f-48ff-af4c-2eceb2ba14f5,Smartphone,iPhone16 ProMax,132352631780273,Dell,Model-39kl,154eb1da-3813-4372-89ba-733cff3bc419
ed6680b3-14fc-4fa3-baa5-35f462e2dd5c,01359ac1-4c0d-4d61-b6be-5af609109366,Laptop,iPhone11 ProMax,368170819059608,Apple,Model-67ue,ccca6132-9e80-4e7d-8cdf-9c4fb0aa3eb7
a54c96ec-e36f-4652-9c13-929d757bafc1,27a54926-53af-48d2-a63e-b8b8652baf7e,Smartphone,Nokia,233173146073667,Dell,Model-39kh,bdeb679d-f9e2-484d-8fe7-d79bc389cc2f
603c38e6-efaf-4e5e-ad9a-12e4846133af,e7162ad6-3481-4d43-b834-d3f3ed9e6eff,Tablet,Nokia,742798910475716,Samsung,Model-14OO,1d1811d7-8430-47d6-9ccf-5a5ea8cf2d18
2d428514-d3b3-4e4a-a495-f87f5a5195b1,0e134ace-bd8a-4348-8286-1cb36dabb2e9,Smartphone,iPhone12 ProMax,810381175503659,Apple,Model-97KY,a878f8a5-0eb9-432c-a3ac-819718a71ac4
214cec35-669e-417d-9e7c-6df3f4eb20dd,88e6281e-96b6-49cd-bcdc-46243bdec158,Smartphone,iPhone13,826824976320775,Apple,Model-26nV,2de8deb5-0ca4-4c59-840d-fc4058f6c379
38c00ec0-f9bc-4759-af2f-c8fe983eaa4f,2751d6de-5654-4b5f-89f3-faec6b0878f1,Smartphone,iPhone16 ProMax,557787668825531,Samsung,Model-96td,9d413748-4828-494f-abad-4329d5e05e1d
83518117-8e1a-43df-83ac-0703c6ad93be,9d61e064-9770-4854-a9ea-9d24b0ded280,Smartphone,iPhone16 ProMax,373066182528554,Huawei,Model-24th,d31e548a-33f8-4eb7-a036-35903b930272
