Traffic_ID,Subscriber_ID,IP_Address,URL_visited,Time,Protocol,Data_Transferred,Geo_Location,Traffic_Status,Region,City,Time_Foreign_ID
7fcff85d-80e3-4c6f-b609-abe743ec3e43,1caf5783-3f6d-4476-99e4-7e252f6c13a7,41.151.118.98,http://www.bailey.net/,2021-01-19 21:26:22,HTTP,657422,"12.642780, 12.255032",Allowed,West,Ebolowa,c114d794bffe1ae66880a8424d7592c8383363018f1000eedabdf1fd2f611ccd
8b6fcf5c-af97-4a45-b159-d89bde6e253c,6f14d4fd-4ba9-4847-ab2c-b54d24f295ed,33.40.102.241,https://www.martin-sanchez.org/,2015-06-10 09:08:56,HTTPS,96870,"8.256335, 13.093051",Blocked,Adamaoua,Ebolowa,be2f775e3e8502916964c8d1089abd070c18a9a9b4a8e86e59f48c3ded7126ff
bb36f0fb-537c-4498-b6bf-03fe6f686911,0290637c-06a6-476a-8d9f-b94f6cf1c769,157.13.93.167,http://www.bell-gomez.com/,2023-10-14 14:40:39,HTTP,19481,"5.876047, 10.343411",Blocked,South,Ngaoundere,07d2a1985007db7326d3df014ea28f90dc13945d707c1dc77aa23c0375423f63
31755288-7224-45ae-85b7-886ca1b3c240,b1ff6327-6ca8-4c81-887d-3b4961fdf1fe,213.173.42.46,http://cohen.org/,2015-07-22 15:49:57,HTTP,50321,"10.070227, 12.362078",Blocked,West,Maroua,ff4fbf0fae7911541c949635fd78864764ccabfb6761fff27e68e7c4077f1903
9780e7d1-32ef-4de1-8511-77204210a04a,b8eb446b-2c7d-416c-942a-46d9878fb4d0,196.192.196.7,http://taylor-robinson.net/,2024-06-03 15:28:38,HTTP,65179,"4.396287, 12.702569",Blocked,Central,Ngaoundere,344a0a92d7be03ccdddbe6b06b79064533c7410218be4eb1b03a34314b0b42e3
1600372d-4b0a-4a6f-9255-0dd6321dbbfb,e2ac2861-a558-4079-9954-38f933c13d72,181.171.100.236,https://hunt.com/,2015-04-10 12:15:07,HTTP,935365,"7.142660, 8.178528",Blocked,North,Ebolowa,8f1b2f1ebc8922b1b3ed8a365673c57aeaeee2f6261edaa35c2fe347537f6994
93b54d48-ce15-4e8f-8047-be77df1d7082,c62397c2-b78d-4857-b995-58ebf1290aac,202.46.237.116,http://www.stone-morris.com/,2023-09-16 21:07:41,TOR_NODES,168060,"10.057556, 13.459601",Blocked,Southwest,Ebolowa,34faccb65e4f25d921c35f62764a6b59ce43833ad7eb657bd65c2b737250aec8
530e733c-117b-4af9-bc36-b698b92899c2,50183a3c-bd82-4c1f-b9dc-0e6a5891a553,118.132.197.27,https://www.williamson-cook.com/,2023-02-05 07:33:55,HTTP,502123,"4.257022, 11.401409",Allowed,Adamaoua,Ebolowa,42bb6e181124f9c530108718dcfa7665512cad27a9bae2ef3570b22102f17c3d
7c404647-05f3-40c0-a431-bb1e2168052b,e921239b-76fe-4167-9450-3f54f644b567,111.85.189.251,http://wallace.info/,2017-08-18 11:31:41,HTTP,802262,"11.824296, 15.563744",Allowed,Northwest,Ebolowa,4426519340e3214cd16d19e661115b157ce5ee4ed4ece1dee335049b181c061a
fb9b0b03-d3c5-442b-aa6d-549c63134a0f,d99452a5-caad-4657-bdae-c7a6d42f26f2,40.160.191.12,https://www.parker-moss.com/,2024-09-04 06:48:37,HTTPS,473564,"7.464459, 14.763977",Blocked,South,Ngaoundere,281c212ce05a8e1824e9ca560c6a7a0d0e08e990cb542611fb417d855ca35968
04a3c6e8-53cc-4579-a43e-329b2cda980e,f8301de6-1183-4476-8678-ff6449a659a0,136.155.228.161,http://www.cross.net/,2020-02-27 18:09:33,TOR_NODES,7341,"3.762621, 14.765065",Allowed,Southwest,Limbe,825e18c34acfb13e59a34c6a392e2a7afd0a2d456d1aeb3845d80ecc234af3eb
6c8002b8-9848-4819-a02a-b331c80bc306,04d5492b-2156-4981-a745-9339af94e690,114.142.192.180,https://www.lloyd.net/,2016-01-03 16:37:10,HTTPS,258718,"8.618908, 12.236918",Allowed,Far North,Yaounde,f9d2f5c9d2fa67960ca2e03f2efc03a7ffb6556f7b1f07cbb4be205d43c65af3
4572248e-094d-4e89-a454-b60f8aec1bd5,479cf334-6676-4da3-a53a-c6de0675cbe5,210.5.152.221,http://www.carroll.com/,2022-08-19 05:20:25,TOR_NODES,437699,"8.817349, 8.545121",Blocked,North,Douala,e3208ac58a338f4d9a1463e6c7864412faef48fa869f4d4a38b17d61608b5789
e5d87780-ddb5-4512-84c6-7aa68bf5b31c,8331d278-ee44-408f-bc88-04ace0e2264e,165.111.197.239,https://www.hernandez-jones.com/,2017-01-01 08:06:41,HTTPS,604502,"7.593926, 9.368142",Allowed,West,Ebolowa,46fca033a75c346660d24f986ad4ac5bfffe53a4348abb40ea4ffbcf5dbdd949
5f1e99ab-4d32-407b-b52e-81c41c529ece,0a474e35-9ba6-4767-820f-82eb63b58716,220.225.59.44,http://phillips.info/,2017-02-04 22:00:41,HTTP,772909,"12.665778, 10.486571",Allowed,Far North,Bertoua,ab2343042aea5d308dfa64a71f95c053cb5e7cece236974cfaa23b169944340e
92fcdca9-b8e1-460c-8781-2cadb4c9de5a,3de33511-d6fc-4d59-903a-9702ea89bb59,22.117.226.232,http://www.edwards-reed.com/,2016-02-11 12:11:00,HTTP,318870,"2.097406, 10.617569",Blocked,East,Bamenda,d82d32a0d137bb361673198c93c2849cdc11eaf3da1fd5e03cb79cf577c4cbe5
3f31c408-eb2a-43ef-bee2-e13d2294a45d,e536301e-970e-4c99-b643-4ded836da048,11.92.182.164,http://wheeler.info/,2021-10-12 09:55:05,HTTP,223131,"6.776983, 14.376063",Blocked,Far North,Ebolowa,be04cac369633700fe2c15a1b1f08f60463ad18347eb6d7ded3c0403fe858e54
3a9f4b1a-ff23-46e7-8b3b-b84d199cb6ba,ccace5e5-66ec-481f-9420-e2fdc7e4993d,116.50.248.56,https://www.keith.info/,2016-07-15 10:05:14,TOR_NODES,769827,"8.532023, 12.766648",Blocked,Adamaoua,Yaounde,dc0a36b53fc293a85b47d379b5f955260034b7b24fb53888133556f81ac1e262
f1b0effb-86e5-4354-8ddc-79866bda54cb,75160f36-c891-4e5b-a8ed-00e02c2b44b5,68.0.49.189,http://www.quinn-smith.com/,2024-10-31 11:38:12,HTTP,325184,"2.507982, 14.231698",Blocked,Far North,Douala,2e48231d56f9dc1083c42ce003dddcd248cc78e623379787f2d8c72114626421
bd424132-3e11-48bd-8a34-b84bef579289,b5f044bd-3af8-4b41-801f-ea2f8db6c406,200.211.13.116,http://thomas.com/,2021-06-20 16:50:08,HTTPS,906,"9.102082, 15.328087",Blocked,South,Garoua,bf400c7a8e939c467ba7f31a839168c09b6c0c621955249ac8e92a1818153095
0cf6246b-749f-4440-8f1f-c00bda20b26c,a9ad56c5-d1ac-42bf-8b03-ba46cffaf1e1,128.51.186.193,https://vasquez-williams.biz/,2018-05-03 20:17:15,HTTP,930855,"8.371663, 11.505246",Blocked,South,Yaounde,f13efcb90d364e95bd9417a40ab8ee76fe73b2f35dd099db46ecc5507eb2c05f
7de8db3d-e9e8-446d-95fd-37e73116cfaf,5b92b9fe-9a51-4d1f-82a5-1bbc864b37b9,163.160.143.5,https://www.welch.com/,2017-07-14 02:29:48,TOR_NODES,503893,"9.253438, 15.507268",Blocked,Littoral,Ebolowa,42269c42629749be2595f242aadcc66420f6772e063680c63f5d0aa10fbe811b
830c7bcd-8274-4527-8ac7-336476494f46,29597f1a-3db4-4fb8-be01-2a24b7c407d6,15.207.41.86,https://www.gonzalez-huff.net/,2022-01-06 15:14:08,HTTPS,454723,"4.103025, 15.421311",Blocked,South,Maroua,149041b5de8e9529494dc9a1ce02dc35585769fb3c992de323850f4eb57a1eb3
1472d774-97d7-425c-bd65-da3899161190,31412c26-1488-4298-baec-db04c3747fbd,38.251.205.91,http://www.mcconnell.net/,2022-02-04 13:27:47,TOR_NODES,125314,"9.249238, 12.575136",Blocked,North,Ngaoundere,4591f2d8ed3a4abe1f5acb8a3a80e602a258d9f2cb8fda30aad552759b92e07c
b93caebc-582f-4d10-b39b-c6b62ccba56e,54dc8477-067e-449b-a190-4198be933faf,9.237.210.62,http://willis.com/,2017-07-19 07:59:28,HTTPS,825229,"4.634064, 10.391272",Blocked,West,Garoua,4e0e31464790f71ed8e994c282f0f170b9f1a03b2aef9396ccb224cafbd6a64c
1912a234-15f7-4227-ab88-c4626bc27067,c8f4b519-a2a1-4bd8-812c-e9637e4e2e48,36.158.91.190,https://www.peters-marquez.info/,2021-01-02 04:41:53,TOR_NODES,3282,"5.922466, 11.422680",Blocked,Southwest,Bertoua,3e4fbd044fd530efc3c12cad4c7443e97cc0235d347217a519f5f4166f69075e
e51531bb-2329-4d70-b424-47add6b68e24,7dbc0271-45f1-47a0-a635-dfa1e8f889f8,119.94.52.178,https://www.williams.com/,2018-12-05 16:35:39,HTTPS,287669,"11.808013, 11.020538",Allowed,Adamaoua,Yaounde,335bfd1e2319a2045dca67e1cb3be22bc2338d023a282f6b45326bfbaeaad2e6
00f94770-86a5-423a-a862-af407c066ea4,63c2dde7-2478-4c90-967e-ad18890c2c38,185.150.230.21,http://www.young-barr.com/,2015-04-17 05:58:04,HTTP,205889,"5.282240, 13.443397",Blocked,Adamaoua,Ebolowa,5f282d4b26fe9af44718004eda1981ade0437bce06b43e637d0ab270644fd60c
806c8591-d718-4f71-a34b-3953a4202fdc,2409840b-237d-4416-8bfb-fdd85a8c190a,128.105.6.181,http://www.clayton-jimenez.biz/,2018-02-01 21:02:38,TOR_NODES,551805,"12.459016, 10.795574",Blocked,West,Ebolowa,358a0c325066d8c483ad8943472a959b83dd262ea86736b07c8013347ff1bcbe
da6762b6-1445-40ac-8931-a2da7e44a8a8,52b2825e-d345-474c-b4cd-600d53bf6e98,153.100.135.214,http://www.espinoza.com/,2018-08-21 10:37:14,HTTP,394191,"4.190955, 12.060867",Blocked,West,Bamenda,7c6000bf1958f7593bc0253aa3dd4bd09de523b2fea97125e0b7980b586e2369
9838a555-8f71-4c78-b195-9352496e6b98,872de086-04a2-4567-ab66-24d63d6b747a,68.243.72.155,https://martin.biz/,2024-08-24 22:37:51,HTTP,622756,"12.215043, 10.138373",Allowed,West,Garoua,0bf72a1d84ae82f6a1ed8dfb8b82040737cf97f3bd385c33d9000b29d93495b6
c1c6f0eb-e259-4ead-bd85-2c7b7c7ec174,77bc8e14-bccd-4273-b3af-ffbed2e81469,121.92.113.132,http://le.com/,2019-02-28 09:48:50,HTTPS,836113,"9.288085, 8.143412",Blocked,North,Ngaoundere,c217c98e52e4af807e4a9a0e764da727b55ad58beb8f55e6d90df629391f16ae
